checkpoint_month,domain,title,description,source,source_url,sort_order
2,physical,Holds head up when on tummy,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,1
2,physical,Moves both arms and both legs,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,2
2,physical,Opens hands briefly,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,3
2,cognitive,Watches you as you move,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,1
2,cognitive,Looks at a toy for several seconds,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,2
2,language,Makes sounds other than crying,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,1
2,language,Reacts to loud sounds,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,2
2,social_emotional,Calms down when spoken to or picked up,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,1
2,social_emotional,Looks at your face,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,2
2,social_emotional,Seems happy to see you when you walk up to her,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,3
2,social_emotional,Smiles when you talk to or smile at her,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,4
6,physical,Rolls from tummy to back,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/6-months.html,1
6,physical,Pushes up with straight arms when on tummy,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/6-months.html,2
6,physical,Leans on hands to support herself when sitting,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/6-months.html,3
6,cognitive,Puts things in her mouth to explore them,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/6-months.html,1
6,cognitive,Reaches to grab a toy she wants,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/6-months.html,2
6,cognitive,Closes lips to show she doesn't want more food,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/6-months.html,3
6,language,Takes turns making sounds with you,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/6-months.html,1
6,language,Blows raspberries,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/6-months.html,2
6,language,Makes squealing noises,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/6-months.html,3
6,social_emotional,Knows familiar people,,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/6-months.html,1
